회사명,거래소코드,회계년도,[공통]배당성향(IFRS),[공통]평균배당률(IFRS)
대신증권(주),003540,2022/12,92.62,18.42
대영포장(주),014160,2022/12,0,0
대우전자부품(주),009320,2022/12,0,0
대우조선해양(주),042660,2022/12,0,0
대원강업(주),000430,2022/12,58.46,20
대원전선(주),006340,2022/12,0,0
대원제약(주),003220,2022/12,23.3,66.83
대원화성(주),024890,2022/12,0,0
대창단조(주),015230,2022/12,16.37,36.26
대한방직(주),001070,2022/12,0,0
대한유화(주),006650,2022/12,0,15.06
대한전선(주),001440,2022/12,0,0
대한제강(주),084010,2022/12,10.45,54.59
대한제당(주),001790,2022/12,57.08,24.07
대한제분(주),001130,2022/12,17.52,48.68
대한해운(주),005880,2022/12,0,0
대한화섬(주),003830,2022/12,2.52,12.69
덕양산업(주),024900,2022/12,0,0
동국제강(주),001230,2022/12,29.75,7.76
동부건설(주),005960,2022/12,25.07,9.99
동성제약(주),002210,2022/12,0,0
동아쏘시오홀딩스(주),000640,2022/12,70.32,19.69
동아에스티(주),170900,2022/12,65.24,15.92
동아타이어공업(주),282690,2022/12,59.53,199.98
동양생명보험(주),082640,2022/12,0,0
동양철관(주),008970,2022/12,0,0
동양피스톤(주),092780,2022/12,0,12
동원금속(주),018500,2022/03,0,0
동원산업(주),006040,2022/12,34,79.59
동원수산(주),030720,2022/12,17.26,5
동원시스템즈(주),014820,2022/12,29.58,12.01
동일고무벨트(주),163560,2022/12,17.4,24
동일산업(주),004890,2022/12,34.9,53.59
동일제강(주),002690,2022/12,5.91,1.95
동화약품(주),000020,2022/12,27.36,17.84
두산밥캣(주),241560,2022/12,66.17,150
두산에너빌리티(주),034020,2022/12,0,0
두산퓨얼셀(주),336260,2022/12,0,0
디씨엠(주),024090,2022/12,21.97,137.82
디아이동일(주),001530,2022/12,22.22,38.8
디에스알(주),155660,2022/12,4.99,12
디에스알제강(주),069730,2022/12,2.99,12
디엘(주),000210,2022/12,15.48,16.36
디엘건설(주),001880,2022/12,12.65,6.02
디엘이앤씨(주),375500,2022/12,13.63,19.7
디와이(주),013570,2022/12,85.79,22.5
디와이파워(주),210540,2022/12,9.43,49.97
롯데관광개발(주),032350,2022/12,0,0
롯데렌탈(주),089860,2022/12,42.26,18
롯데손해보험(주),000400,2022/12,0,0
롯데쇼핑(주),023530,2022/12,0,65.96
롯데에너지머티리얼즈(주),020150,2022/12,283.21,60
롯데웰푸드(주),280360,2022/12,108.7,431.07
롯데정밀화학(주),004000,2022/12,23.06,69.1
롯데정보통신(주),286940,2022/12,44.42,13.76
롯데지주(주),004990,2022/12,168.57,507.66
롯데칠성음료(주),005300,2022/12,27.68,660.08
롯데케미칼(주),011170,2022/12,0,69.42
롯데하이마트(주),071840,2022/12,0,5.88
만호제강(주),001080,2022/06,11.36,17.43
명문제약(주),017180,2022/12,0,0
명신산업(주),009900,2022/12,0,0
무림페이퍼(주),009200,2022/12,0,2
무림피앤피(주),009580,2022/12,48.35,6
문배철강(주),008420,2022/12,3.72,9.51
미래산업(주),025560,2022/12,0,0
미래에셋생명보험(주),085620,2022/12,0,0
미래에셋증권(주),006800,2022/12,31.04,3.01
미원상사(주),002840,2022/12,3.68,36.31
미원스페셜티케미칼(주),268280,2022/12,9.95,266.08
미원홀딩스(주),107590,2022/12,13.93,123.17
미원화학(주),134380,2022/12,18.89,127.75
미창석유공업(주),003650,2022/12,18.11,43.48
백광산업(주),001340,2022/12,11.81,11.79
범양건영(주),002410,2022/12,0,0
보해양조(주),000890,2022/12,0,0
부광약품(주),003000,2022/12,0,0
부국증권(주),001270,2022/12,29.51,20.2
부국철강(주),026940,2022/12,21.12,15
부산산업(주),011390,2022/12,0,5
부산주공(주),005030,2022/12,0,0
비케이탑스(주),030790,2022/12,0,0
사조동아원(주),008040,2022/12,0,0
사조산업(주),007160,2022/12,11.05,6.99
사조씨푸드(주),014710,2022/12,8.3,4
삼부토건(주),001470,2022/12,0,0
삼성SDI(주),006400,2022/12,7.96,19.33
삼성공조(주),006660,2022/12,4.95,15.79
삼성물산(주),028260,2022/12,25.75,1996.86
삼성바이오로직스(주),207940,2022/12,0,0
삼성생명보험(주),032830,2022/12,87.36,538.72
삼성에스디에스(주),018260,2022/12,46.69,639.77
삼성엔지니어링(주),028050,2022/12,0,0
삼성전기(주),009150,2022/12,22.64,40.93
삼성전자(주),005930,2022/12,9.65,273.31
삼성제약(주),001360,2022/12,0,0
삼성중공업(주),010140,2022/12,0,0
삼성증권(주),016360,2022/12,40.21,33.11
삼성카드(주),029780,2022/12,43.23,43.39
삼성화재해상보험(주),000810,2022/12,51.4,2215.98
삼아알미늄(주),006110,2022/12,15.98,50
삼양식품(주),003230,2022/12,5.93,11.88
삼양통상(주),002170,2022/12,33.09,28.29
삼영무역(주),002810,2022/12,31.46,114.55
삼영전자공업(주),005680,2022/12,32.46,60
삼익티에이치케이(주),004380,2022/12,37.82,59.14
삼일제약(주),000520,2022/12,0,0
삼정펄프(주),009770,2022/12,0,20
삼진제약(주),005500,2022/12,50.14,76.15
삼호개발(주),010960,2022/12,85.34,33.99
삼화왕관(주),004450,2022/12,0,11.82
삼화전기(주),009470,2022/12,17.83,30
삼화전자공업(주),011230,2022/12,0,0
삼화콘덴서공업(주),001820,2022/12,23.73,49.35
삼화페인트공업(주),000390,2022/12,115.09,43.36
상신브레이크(주),041650,2022/12,17.39,18.03
새론오토모티브(주),075180,2022/12,0,28
샘표(주),007540,2022/12,4.17,15.06
샘표식품(주),248170,2022/12,7.99,39.99
서울도시가스(주),017390,2022/12,39.18,19.41
서울식품공업(주),004410,2022/12,0,0
선도전기(주),007610,2022/12,0,0
성문전자(주),014910,2022/12,36.22,0.96
성보화학(주),003080,2022/12,73.25,26.52
성신양회(주),004980,2022/12,0,3.9
성창기업지주(주),000180,2022/12,0,0
세기상사(주),002420,2022/12,0,0
세방(주),004360,2022/12,16.6,56.83
세방전지(주),004490,2022/12,16.44,113.81
세원이앤씨(주),091090,2022/12,0,0
세종공업(주),033530,2022/12,41.57,19.45
세하(주),027970,2022/12,0,0
솔루스첨단소재(주),336370,2022/12,11.58,100.17
송원산업(주),004430,2022/12,9.77,0
스틱인베스트먼트(주),026890,2022/12,28.13,35.1
신대양제지(주),016590,2022/12,22.25,22.38
신라교역(주),004970,2022/12,50.38,98.66
신성통상(주),005390,2022/06,0,0
신세계건설(주),034300,2022/12,0,10
신송홀딩스(주),006880,2022/12,32.95,21.89
신영증권(주),001720,2022/03,35.62,40.31
신일전자(주),002700,2022/12,67.48,1.98
신풍제약(주),019170,2022/12,0,0
쌍용씨앤이(주),003410,2022/12,38.28,109.66
써니전자(주),004770,2022/12,0,0
씨에스윈드(주),112610,2022/12,0,98.24
씨제이(주),001040,2022/12,78.35,46.88
씨제이대한통운(주),000120,2022/12,4.97,8.74
씨제이씨지브이(주),079160,2022/12,0,0
씨제이씨푸드(주),011150,2022/12,0,0
씨제이제일제당(주),097950,2022/12,15.09,48.99
아남전자(주),008700,2022/12,0,0
아세아(주),002030,2022/12,48.37,53.12
아세아시멘트(주),183190,2022/12,17.69,44.98
아세아제지(주),002310,2022/12,13.79,20
아시아나아이디티(주),267850,2022/12,64.56,0
아시아나항공(주),020560,2022/12,0,0
아이에스동서(주),010780,2022/12,0,0
아주스틸(주),139990,2022/12,0,0
애경산업(주),018250,2022/12,49.25,30.77
애경케미칼(주),161000,2022/12,47.06,108.92
에스디바이오센서(주),137310,2022/12,3.28,56.82
에스엘(주),005850,2022/12,16.9,118.98
에스지씨에너지(주),005090,2022/12,29.64,33.38
에스케이(주),034730,2022/12,35.84,1208.67
에스케이가스(주),018670,2022/12,18.36,106.96
에스케이네트웍스(주),001740,2022/12,431.03,4.05
에스케이디스커버리(주),006120,2022/12,14.57,21.23
에스케이디앤디(주),210980,2022/12,13.69,41.83
에스케이렌터카(주),068400,2022/12,32.11,28.81
에스케이바이오사이언스(주),302440,2022/12,0,0
에스케이바이오팜(주),326030,2022/12,0,0
에스케이스퀘어(주),402340,2022/12,0,0
에스케이씨(주),011790,2022/12,31.57,19.74
에스케이아이이테크놀로지(주),361610,2022/12,0,0
에스케이오션플랜트(주),100090,2022/12,0,0
에스케이증권(주),001510,2022/12,47.49,0.89
에스케이케미칼(주),285130,2022/12,36.16,25.35
에스케이텔레콤(주),017670,2022/12,20.81,593.47
에스케이하이닉스(주),000660,2022/12,29.57,22.56
에쓰-오일(주),010950,2022/12,16.61,119.84
에쓰씨엔지니어링(주),023960,2022/12,0,0
에어부산(주),298690,2022/12,0,0
에이치디씨(주),012630,2022/12,31.94,4.59
에이치디씨랩스(주),039570,2022/12,80.82,79.66
에이치디씨현대산업개발(주),294870,2022/12,108.07,12
에이치디씨현대이피(주),089470,2022/12,22.47,20.16
에이치디한국조선해양(주),009540,2022/12,0,0
에이치디현대건설기계(주),267270,2022/12,29.73,32.34
에이치디현대에너지솔루션(주),322000,2022/12,10.44,12
에이치디현대인프라코어(주),042670,2022/12,22.85,23.99
에이치디현대일렉트릭(주),267260,2022/12,13.21,9.98
에이치디현대중공업(주),329180,2022/12,0,0
에이치에스디엔진(주),082740,2022/12,0,0
에이치엘디앤아이한라(주),014790,2022/12,0,0
에이치엘만도(주),204320,2022/12,0,49.94
에이치엘비글로벌(주),003580,2022/12,0,0
에이치엘홀딩스(주),060980,2022/12,19.94,35.52
에이치엠엠(주),011200,2022/12,5.84,24
에이케이홀딩스(주),006840,2022/12,0,3.94
엔에이치기업인수목적19호(주),380440,2022/12,0,0
엔에이치엔(주),181710,2022/12,0,0
엔에이치투자증권(주),005940,2022/12,72.63,13.79
엔피씨(주),004250,2022/12,23.45,20.01
엘브이엠씨홀딩스(주),900140,2022/12,,
엘아이지넥스원(주),079550,2022/12,26.59,29.72
엘에스전선아시아(주),229640,2022/12,2066.34,49.35
엘지디스플레이(주),034220,2022/12,0,0
엘지전자(주),066570,2022/12,14.84,14.04
영보화학(주),014440,2022/12,40.59,9.75
영진약품(주),003520,2022/12,0,0
영풍제지(주),006740,2022/12,133,95.09
영화금속(주),012280,2022/12,0,0
우리종합금융(주),010050,2022/12,21.73,4.6
웰바이오텍(주),010600,2022/12,0,0
유니온머티리얼(주),047400,2022/12,33.49,7
유니퀘스트(주),077500,2022/12,17.67,38.38
유성기업(주),002920,2022/12,0,23.72
유안타증권(주),003470,2022/12,60.13,2.19
유엔젤(주),072130,2022/12,0,0
유진투자증권(주),001200,2022/12,149.84,1.03
유화증권(주),003460,2022/12,162.47,9.19
율촌화학(주),008730,2022/12,0,41.96
이건산업(주),008250,2022/12,34.79,1.95
이구산업(주),025820,2022/12,29.23,10
이연제약(주),102460,2022/12,37.38,29.6
이화산업(주),000760,2022/12,0,0
인지컨트롤스(주),023800,2022/12,35.55,38.33
인천도시가스(주),034590,2022/12,43.14,23.56
인터지스(주),129260,2022/12,13.35,22.76
일동제약(주),249420,2022/12,0,0
일동홀딩스(주),000230,2022/12,12.98,9.78
일성건설(주),013360,2022/12,4.46,1
일성신약(주),003120,2022/12,28.18,222.98
일신방직(주),003200,2022/12,10.49,94.34
일양약품(주),007570,2022/12,29.71,5.72
일정실업(주),008500,2022/12,0,0
일진다이아몬드(주),081000,2022/12,0,29.99
일진디스플레이(주),020760,2022/12,0,0
일진전기(주),103590,2022/12,21.65,13
일진하이솔루스(주),271940,2022/12,0,0
일진홀딩스(주),015860,2022/12,88.3,13.84
자이에스앤디(주),317400,2022/12,20.28,30
자화전자(주),033240,2022/12,0,0
전방(주),000950,2022/12,1.68,13.57
제이더블유생명과학(주),234080,2022/12,40.4,19.56
제이더블유중외제약(주),001060,2022/12,25.76,14.83
제이더블유홀딩스(주),096760,2022/12,72.27,19.53
제이준코스메틱(주),025620,2022/12,0,0
제일약품(주),271980,2022/12,0,9.91
제일연마공업(주),001560,2022/12,9915.14,38.87
제일파마홀딩스(주),002620,2022/12,0,9.61
조광페인트(주),004910,2022/12,76.81,15.88
조광피혁(주),004700,2022/12,0,0
조선내화(주),000480,2022/12,179.45,72
조선선재(주),120030,2022/12,14.38,240.69
조일알미늄(주),018470,2022/12,0,0
중소기업은행,024110,2022/12,31.19,18.18
지에스건설(주),006360,2022/12,45.85,25.79
지엠비코리아(주),013870,2022/12,19.52,16
진양산업(주),003780,2022/12,44.34,30
진양폴리우레탄(주),010640,2022/12,43.88,30
진양화학(주),051630,2022/12,0,0
진원생명과학(주),011000,2022/12,0,0
진흥기업(주),002780,2022/12,0,0
참엔지니어링(주),009310,2022/12,0,0
컨버즈(주),109070,2022/12,0,0
케이비아이동국실업(주),001620,2022/12,0,0
케이씨그린홀딩스(주),009440,2022/12,44.94,9.86
케이씨코트렐(주),119650,2022/12,0,0
케이알모터스(주),000040,2022/12,0,0
케이지모빌리티(주),003620,2022/12,0,0
케이지케미칼(주),001390,2022/12,36,9.63
케이카(주),381970,2022/12,30.09,38
케이피엑스케미칼(주),025000,2022/12,36.32,44.21
케이피엑스홀딩스(주),092230,2022/12,99.97,44.67
코리안리재보험(주),003690,2022/12,30.11,74.95
코스맥스(주),192820,2022/12,0,0
코스맥스비티아이(주),044820,2022/12,0,0
코스모신소재(주),005070,2022/12,0,0
코스모화학(주),005420,2022/12,0,0
코오롱글로벌(주),003070,2022/12,5.3,6.01
코오롱인더스트리(주),120110,2022/12,63.16,26.09
코오롱플라스틱(주),138490,2022/12,20.22,18
코웨이(주),021240,2022/12,25.4,231.99
쿠쿠홀딩스(주),192400,2022/12,62.16,699.13
쿠쿠홈시스(주),284740,2022/12,13.49,699.53
키움증권(주),039490,2022/12,18.09,61.43
태경산업(주),015890,2022/12,149.84,57.98
태경케미컬(주),006890,2022/12,24.64,39.08
태광산업(주),003240,2022/12,0,26.46
태림포장(주),011280,2022/12,47.46,9.72
태양금속공업(주),004100,2022/12,19.05,1.08
태원물산(주),001420,2022/12,0,9.65
태평양물산(주),007980,2022/12,6.85,5.48
텔코웨어(주),078000,2022/12,87.67,67.17
티와이엠(주),002900,2022/12,5.92,7.66
티케이지휴켐스(주),069260,2022/12,46.9,93.87
파미셀(주),005690,2022/12,0,0
팜젠사이언스(주),004720,2022/12,0,0
팬오션(주),028670,2022/12,11.85,15
퍼스텍(주),010820,2022/12,0,0
페이퍼코리아(주),001020,2022/12,0,0
평화산업(주),090080,2022/12,0,0
평화홀딩스(주),010770,2022/12,42.14,28.68
포스코스틸리온(주),058430,2022/12,30.03,17.5
포스코홀딩스(주),005490,2022/12,0,31.45
프레스티지바이오파마,950210,2022/06,0,0
피아이첨단소재(주),178920,2022/12,50.05,155.8
하나제약(주),293480,2022/12,36.3,99.28
하이트진로(주),000080,2022/12,99.26,17.99
하이트진로홀딩스(주),000140,2022/12,134.76,9.24
한국가스공사(주),036460,2022/12,0,0
한국공항(주),005430,2022/12,0,0
한국내화(주),010040,2022/12,50.91,7.77
한국단자공업(주),025540,2022/12,11.31,89.14
한국무브넥스(주),010100,2022/12,9.38,7
한국석유공업(주),004090,2022/12,12.11,21.13
한국수출포장공업(주),002200,2022/12,15.31,15.31
한국쉘석유(주),002960,2022/12,87.57,334.29
한국앤컴퍼니(주),000240,2022/12,104.33,130
한국유나이티드제약(주),033270,2022/12,12.99,72.43
한국자산신탁(주),123890,2022/12,36.22,43.43
한국전력공사(주),015760,2022/12,0,0
한국전력기술(주),052690,2022/12,59.97,140.85
한국주강(주),025890,2022/12,0,0
한국주철관공업(주),000970,2022/12,36.59,71.7
한국지역난방공사,071320,2022/12,0,0
한국철강(주),104700,2022/12,14.6,25.29
한국콜마(주),161890,2022/12,0,0
한국콜마홀딩스(주),024720,2022/12,80.51,59.69
한국타이어앤테크놀로지(주),161390,2022/12,37.05,157.56
한국투자금융지주(주),071050,2022/12,20.29,43.73
한국항공우주산업(주),047810,2022/12,19.43,5
한국화장품(주),123690,2022/12,0,0
한미반도체(주),042700,2022/12,21.28,153.09
한미사이언스(주),008930,2022/12,73.33,38.86
한미약품(주),128940,2022/12,12.13,19.82
한성기업(주),003680,2022/12,0,0
한세실업(주),105630,2022/12,18.81,98.1
한세엠케이(주),069640,2022/12,0,0
한세예스24홀딩스(주),016450,2022/12,83.98,49.08
한솔로지스틱스(주),009180,2022/12,28.08,13.41
한솔제지(주),213500,2022/12,13.09,9.99
한솔테크닉스(주),004710,2022/12,18.05,1.96
한솔피엔에스(주),010420,2022/12,19.98,5
한솔홀딩스(주),004150,2022/12,52.5,12
한신공영(주),004960,2022/12,6.89,6
한신기계공업(주),011700,2022/12,0,2
한양증권(주),001750,2022/12,41.78,15.15
한온시스템(주),018880,2022/12,0,89.98
한올바이오파마(주),009420,2022/12,0,0
한일시멘트(주),300720,2022/12,61.36,116
한일철강(주),002220,2022/12,0,5.47
한일현대시멘트(주),006390,2022/12,32.48,12
한일홀딩스(주),003300,2022/12,21.2,53.6
한전산업개발(주),130660,2022/12,49.95,45.6
한전케이피에스(주),051600,2022/12,60,652.5
한화생명보험(주),088350,2022/12,0,0
한화손해보험(주),000370,2022/12,0,0
한화솔루션(주),009830,2022/12,0,0
한화시스템(주),272210,2022/12,163.76,4.95
한화에어로스페이스(주),012450,2022/12,16.49,19.04
한화투자증권(주),003530,2022/12,0,0
해성디에스(주),195870,2022/12,9.57,18
해태제과식품(주),101530,2022/12,0,36.43
핸즈코퍼레이션(주),143210,2022/12,0,2.2
현대건설(주),000720,2022/12,19.48,12.01
현대글로비스(주),086280,2022/12,17.67,1140
현대로템(주),064350,2022/12,0,0
현대모비스(주),012330,2022/12,17.51,56.21
현대비앤지스틸(주),004560,2022/12,8.08,2.01
현대약품(주),004310,2022/11,0,5.16
현대엘리베이터(주),017800,2022/12,16.69,9.37
현대오토에버(주),307950,2022/12,29.32,227.99
현대위아(주),011210,2022/12,0,13.72
현대자동차(주),005380,2022/12,42.48,105.61
현대제철(주),004020,2022/12,13.56,19.72
현대차증권(주),001500,2022/12,25.43,10.52
현대코퍼레이션(주),011760,2022/12,9.16,10.9
현대코퍼레이션홀딩스(주),227840,2022/12,13.92,9.69
현대해상화재보험(주),001450,2022/12,27.47,344.71
호전실업(주),111110,2022/12,14.44,47.42
화성산업(주),002460,2022/12,14.55,7.35
화천기계(주),010660,2022/12,16.69,5.4
화천기공(주),000850,2022/12,16.35,50
환인제약(주),016580,2022/12,19.41,47.22
효성아이티엑스(주),094280,2022/12,23.71,57.56
효성중공업(주),298040,2022/12,0,0
효성첨단소재(주),298050,2022/12,31.53,299.2
효성티앤씨(주),298020,2022/12,14.9,199.45
효성화학(주),298000,2022/12,0,0
흥국화재해상보험(주),000540,2022/12,0,0
흥아해운(주),003280,2022/12,0,0
